model,variant,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage,engine_capacity,battery_capacity,charging_time,seating_capacity,ground_clearance,boot_space
Tesla Cybertruck,Standard Range,Solid Black,Electric,Automatic,77481.34,2023-09-07,2023-10-10,Texas,459.1,0,98.6,9.3,5,166.5,559
Tesla Cybertruck,Plaid,Midnight Silver Metallic,Electric,Automatic,52516.55,2024-08-01,2024-08-17,Texas,273.3,0,68.5,1.3,5,152.2,622
Tesla Model X,Long Range,Stealth Grey,Electric,Automatic,88643.48,2025-03-25,2025-06-19,Oregon,345.4,0,65.5,3.0,7,167.3,731
Tesla Cybertruck,Performance,Red Multi-Coat,Electric,Automatic,55879.57,2024-02-28,2024-04-07,Texas,465.1,0,61.4,8.4,5,160.7,500
Tesla Roadster,Long Range,Pearl White,Electric,Automatic,231306.14,2023-06-13,2023-08-30,Colorado,572.8,0,99.7,1.6,5,149.7,627
Tesla Model S,Plaid,Midnight Silver Metallic,Electric,Automatic,128728.62,2024-08-14,2024-08-20,California,327.3,0,65.6,5.2,5,156.3,457
Tesla Model Y,Plaid,Midnight Silver Metallic,Electric,Automatic,54381.17,2023-12-29,2024-02-09,Arizona,301.9,0,93.0,8.1,7,156.7,723
Tesla Model X,Standard Range,Ultra Red,Electric,Automatic,101686.1,2023-08-02,2023-10-26,California,318.3,0,92.2,10.3,7,162.9,880
Tesla Cybertruck,Performance,Ultra Red,Electric,Automatic,76708.75,2024-05-27,2024-07-18,New York,325.9,0,70.6,10.5,5,167.0,560
Tesla Model S,Plaid,Stealth Grey,Electric,Automatic,75452.61,2024-06-14,2024-06-27,New York,349.2,0,66.9,3.3,5,162.3,631
Tesla Model X,Plaid,Pearl White,Electric,Automatic,133077.84,2024-03-01,2024-03-04,Illinois,344.3,0,96.3,8.8,7,145.4,503
Tesla Model Y,Standard Range,Solid Black,Electric,Automatic,67694.98,2024-07-15,2024-09-12,Maryland,316.9,0,65.6,5.3,7,164.9,449
Tesla Model 3,Performance,Ultra Red,Electric,Automatic,46232.26,2023-11-19,2023-11-25,New York,286.3,0,71.8,6.0,5,145.7,464
Tesla Cybertruck,Performance,Solid Black,Electric,Automatic,71723.95,2024-03-27,2024-05-09,New Jersey,329.8,0,69.0,6.7,5,151.2,634
Tesla Model Y,Plaid,Pearl White,Electric,Automatic,62538.11,2025-01-07,2025-03-27,New Jersey,299.1,0,68.0,7.7,7,159.1,833
Tesla Roadster,Standard Range,Red Multi-Coat,Electric,Automatic,226910.31,2024-02-20,2024-02-24,Florida,616.8,0,81.4,4.7,5,155.2,571
Tesla Model Y,Plaid,Solid Black,Electric,Automatic,62800.51,2025-03-26,2025-06-04,Washington,280.6,0,73.8,10.4,7,146.5,464
Tesla Model 3,Standard Range,Ultra Red,Electric,Automatic,42324.94,2024-01-21,2024-03-10,Arizona,277.2,0,62.8,2.9,5,167.2,628
Tesla Roadster,Standard Range,Deep Blue Metallic,Electric,Automatic,230241.96,2023-11-23,2023-11-27,California,414.4,0,62.3,6.8,5,143.0,511
Tesla Model Y,Long Range,Ultra Red,Electric,Automatic,48131.79,2023-06-18,2023-08-21,Arizona,264.0,0,86.5,4.8,7,147.3,449
Tesla Model S,Performance,Red Multi-Coat,Electric,Automatic,115732.21,2025-02-22,2025-05-02,New York,365.1,0,70.5,5.2,5,160.2,432
Tesla Model S,Performance,Stealth Grey,Electric,Automatic,129736.3,2023-08-19,2023-10-19,Nevada,354.6,0,75.0,2.5,5,167.5,464
Tesla Model Y,Performance,Midnight Silver Metallic,Electric,Automatic,57812.14,2024-01-29,2024-03-15,Nevada,263.9,0,95.3,4.0,7,161.5,894
Tesla Model Y,Performance,Solid Black,Electric,Automatic,47228.38,2023-04-15,2023-07-04,Massachusetts,312.6,0,86.6,5.2,7,153.1,720
Tesla Model Y,Performance,Deep Blue Metallic,Electric,Automatic,52705.66,2024-03-18,2024-05-28,New York,311.1,0,79.8,2.3,7,162.9,669
Tesla Cybertruck,Plaid,Midnight Silver Metallic,Electric,Automatic,70905.7,2023-08-25,2023-09-06,Colorado,399.2,0,94.1,10.4,5,155.2,546
Tesla Model 3,Standard Range,Deep Blue Metallic,Electric,Automatic,41744.97,2023-04-13,2023-06-12,Colorado,332.4,0,99.4,1.7,5,160.5,509
Tesla Model 3,Standard Range,Pearl White,Electric,Automatic,42229.28,2024-06-28,2024-06-30,Massachusetts,321.7,0,89.0,6.2,5,151.1,445
Tesla Cybertruck,Long Range,Pearl White,Electric,Automatic,58873.52,2024-03-02,2024-03-31,Oregon,391.7,0,66.7,5.2,5,142.1,491
Tesla Roadster,Plaid,Deep Blue Metallic,Electric,Automatic,246846.36,2023-07-16,2023-09-26,Washington,465.3,0,77.7,11.3,5,158.6,560
Tesla Model X,Standard Range,Deep Blue Metallic,Electric,Automatic,126945.23,2023-11-23,2024-01-07,Oregon,335.1,0,73.1,4.4,7,164.3,837
Tesla Model X,Plaid,Pearl White,Electric,Automatic,105588.24,2024-09-01,2024-10-25,Illinois,334.3,0,88.7,9.8,7,158.5,448
Tesla Cybertruck,Long Range,Red Multi-Coat,Electric,Automatic,71269.81,2023-08-31,2023-09-12,Colorado,294.7,0,74.4,6.4,5,160.5,590
Tesla Model 3,Performance,Stealth Grey,Electric,Automatic,53337.25,2023-08-07,2023-09-02,Florida,268.6,0,90.8,7.2,5,141.3,486
Tesla Cybertruck,Plaid,Solid Black,Electric,Automatic,58664.56,2024-05-12,2024-08-01,Connecticut,342.2,0,70.7,5.1,5,143.9,507
